Hostname,Rule ID,Severity,Result
wrkr324,xccdf_org.ssgproject.content_rule_file_groupowner_var_log_localmessages,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_groupowner_var_log_messages,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_groupowner_var_log_secure,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_groupowner_var_log_syslog,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_groupowner_var_log_waagent,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_groupowner_var_log_wbtmp,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_groupownerships_var_log,medium,fail
wrkr324,xccdf_org.ssgproject.content_rule_file_groupownerships_var_log_apt,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_groupownerships_var_log_gdm,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_groupownerships_var_log_gdm3,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_groupownerships_var_log_sssd,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_owner_var_log,medium,notselected
wrkr324,xccdf_org.ssgproject.content_rule_file_owner_var_log_auth,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_owner_var_log_cloud_init,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_owner_var_log_journal,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_owner_var_log_lastlog,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_owner_var_log_localmessages,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_owner_var_log_messages,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_owner_var_log_secure,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_owner_var_log_syslog,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_owner_var_log_waagent,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_owner_var_log_wbtmp,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_ownerships_var_log,medium,fail
wrkr324,xccdf_org.ssgproject.content_rule_file_ownerships_var_log_apt,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_ownerships_var_log_gdm,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_ownerships_var_log_gdm3,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_ownerships_var_log_sssd,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_permissions_var_log,medium,notselected
wrkr324,xccdf_org.ssgproject.content_rule_file_permissions_var_log_apt,medium,pass
